Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match,year
293,30-04-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Group,139.0,5.0,140.0,5.0,Kolkata Knight Riders,Wickets,5.0,Gautam Gambhir,2012
294,01-05-2012,"Barabati Stadium, Cuttack",Deccan Chargers,Pune Warriors India,Deccan Chargers,Bat,Group,186.0,4.0,173.0,5.0,Deccan Chargers,Runs,13.0,Kumar Sangakkara,2012
295,01-05-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,141.0,6.0,144.0,4.0,Delhi Daredevils,Wickets,6.0,Pawan Negi,2012
296,02-05-2012,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Group,158.0,5.0,163.0,6.0,Kings XI Punjab,Wickets,4.0,Azhar Mahmood,2012
297,03-05-2012,"Subrata Roy Sahara Stadium, Pune",Mumbai Indians,Pune Warriors India,Mumbai Indians,Bat,Group,120.0,9.0,119.0,6.0,Mumbai Indians,Runs,1.0,Lasith Malinga,2012
298,04-05-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Bat,Group,160.0,6.0,150.0,5.0,Chennai Super Kings,Runs,10.0,Suresh Raina,2012
299,05-05-2012,"Eden Gardens, Kolkata",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,Bat,Group,150.0,6.0,143.0,8.0,Kolkata Knight Riders,Runs,7.0,Sunil Narine,2012
300,05-05-2012,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Group,177.0,6.0,134.0,8.0,Rajasthan Royals,Runs,43.0,Shane Watson,2012
301,06-05-2012,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,173.0,8.0,174.0,8.0,Mumbai Indians,Wickets,2.0,Dwayne Smith,2012
302,06-05-2012,"M. Chinnaswamy Stadium, Bangalore",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,181.0,2.0,185.0,5.0,Royal Challengers Bangalore,Wickets,5.0,AB de Villiers,2012
303,07-05-2012,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Group,153.0,9.0,154.0,4.0,Kolkata Knight Riders,Wickets,6.0,Jacques Kallis,2012
304,08-05-2012,"Subrata Roy Sahara Stadium, Pune",Pune Warriors India,Rajasthan Royals,Pune Warriors India,Bat,Group,125.0,6.0,126.0,3.0,Rajasthan Royals,Wickets,7.0,Shane Watson,2012
305,08-05-2012,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Kings XI Punjab,Deccan Chargers,Deccan Chargers,Field,Group,170.0,5.0,145.0,8.0,Kings XI Punjab,Runs,25.0,Mandeep Singh,2012
306,09-05-2012,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,141.0,6.0,142.0,1.0,Royal Challengers Bangalore,Wickets,9.0,Chris Gayle,2012
307,10-05-2012,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,187.0,4.0,193.0,1.0,Delhi Daredevils,Wickets,9.0,David Warner,2012
308,10-05-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field,Group,126.0,6.0,127.0,6.0,Chennai Super Kings,Wickets,4.0,Ben Hilfenhaus,2012
309,11-05-2012,"Subrata Roy Sahara Stadium, Pune",Royal Challengers Bangalore,Pune Warriors India,Pune Warriors India,Field,Group,173.0,3.0,138.0,9.0,Royal Challengers Bangalore,Runs,35.0,Chris Gayle,2012
310,12-05-2012,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Bat,Group,182.0,1.0,155.0,4.0,Mumbai Indians,Runs,27.0,Rohit Sharma,2012
311,12-05-2012,"M. A. Chidambaram Stadium, Chennai",Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Field,Group,114.0,5.0,115.0,1.0,Chennai Super Kings,Wickets,9.0,Ben Hilfenhaus,2012
312,13-05-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Pune Warriors India,Rajasthan Royals,Bat,Group,170.0,4.0,125.0,9.0,Rajasthan Royals,Runs,45.0,Ajit Chandila,2012
313,13-05-2012,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab,Deccan Chargers,Bat,Group,190.0,4.0,194.0,6.0,Kings XI Punjab,Wickets,4.0,David Hussey,2012
314,14-05-2012,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Group,171.0,6.0,173.0,5.0,Mumbai Indians,Wickets,5.0,Ambati Rayudu,2012
315,14-05-2012,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Group,158.0,6.0,160.0,5.0,Chennai Super Kings,Wickets,5.0,Michael Hussey,2012
316,15-05-2012,"Feroz Shah Kotla, Delhi",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat,Group,136.0,8.0,140.0,5.0,Delhi Daredevils,Wickets,5.0,Umesh Yadav,2012
317,16-05-2012,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Group,140.0,7.0,108.0,10.0,Kolkata Knight Riders,Runs,32.0,Sunil Narine,2012
318,17-05-2012,"HPCA Stadium, Dharamsala",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Group,120.0,7.0,123.0,4.0,Kings XI Punjab,Wickets,6.0,Adam Gilchrist,2012
319,17-05-2012,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field,Group,215.0,1.0,194.0,9.0,Royal Challengers Bangalore,Runs,21.0,Chris Gayle,2012
320,18-05-2012,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Bat,Group,126.0,8.0,128.0,5.0,Deccan Chargers,Wickets,5.0,Dale Steyn,2012
321,19-05-2012,"HPCA Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,141.0,8.0,145.0,4.0,Delhi Daredevils,Wickets,6.0,Umesh Yadav,2012
322,19-05-2012,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,Bat,Group,136.0,4.0,102.0,8.0,Kolkata Knight Riders,Runs,34.0,Shakib Al Hasan,2012
323,20-05-2012,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,132.0,7.0,123.0,9.0,Deccan Chargers,Runs,9.0,Dale Steyn,2012
324,20-05-2012,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Group,162.0,6.0,163.0,0.0,Mumbai Indians,Wickets,10.0,Dwayne Smith,2012
325,22-05-2012,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Playoff,162.0,4.0,144.0,8.0,Kolkata Knight Riders,Runs,18.0,Yusuf Pathan,2012
326,23-05-2012,"M. Chinnaswamy Stadium, Bangalore",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Playoff,187.0,5.0,149.0,9.0,Chennai Super Kings,Runs,38.0,Mahendra Singh Dhoni,2012
327,25-05-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Field,Playoff,222.0,5.0,136.0,10.0,Chennai Super Kings,Runs,86.0,Murali Vijay,2012
328,27-05-2012,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Final,190.0,3.0,192.0,5.0,Kolkata Knight Riders,Wickets,5.0,Manvinder Bisla,2012
